"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0784313725487","18.6486486486489","12.1298405466969","3.96140172676478","7.96287174444331","5.88235395341866","7.30769324531406","8.20390129312089","2.54714368704694","1.18578851134656","7.04687499241221","1.99198444906199","1.2380418420716","7.61658911307723","4.19596280335676","-0.957771005659552","1.12087912087912","7.28102586394262","-0.384927066450572","1.13890583689242","3.09672230042229","1.83343085625123","-11.6835855200153","-2.73259596616786","3.36677814938685","-1.03537532355479","6.42981691368789","-0.0204792135982075","3.54362965997541","2.11671612265083","5.48237117396357","5.25785567271588","0.635029268285663","-18.5890997764476","17.1725085129983",
"Africa Eastern and Southern","AFE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","0.237304296005121","7.98446046472907","5.16387335113851","4.58367684527478","5.32804421525157","3.91390855239683","5.25530876450813","4.02630212024955","5.27836619834736","4.69369864842318","5.37500487722077","2.15418892877175","4.4455362498766","5.88955613588695","1.7360267223943","2.85202185179054","1.24338322798587","1.0447363992574","2.80214602485438","5.41532435138623","4.32969424692348","0.516705286488261","0.162079464428899","3.01429960620121","-0.443352304198314","2.29398928163842","4.24385127974784","4.01447483273398","2.90991752788356","-0.0326301465164249","0.11402982036077","-1.96381805944742","-0.387732938800426","2.02448777964979","4.29865237859181","5.43404299422046","4.43287205542345","1.84600842808642","2.65228256199809","3.35397753939644","3.65322422774005","3.90525026694712","3.0960448630498","5.50731493728995","6.11692445270944","6.56131823677539","6.56877678509859","4.30248193382184","0.645423329221998","5.19713733939426","3.70019048397752","0.838835773071978","4.22135834894081","3.99063728773568","2.97642128006545","2.2240159213264","2.54601999972806","2.51079708375825","2.07847301284343","-2.90048975907105","4.29339543574787",
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.83227781263571","1.41411798058979","11.2297148236429","5.35740325126351","13.8263195479763","3.92498382161573","21.3905283931066","14.3624414692681","0.426354784529209","12.7522870887171","5.60074465808154","2.72454336394854","1.45131466009755","2.26031420130452","2.64700320195786","1.18922812838034","3.911603419423","-2.35110067344623","-20.7371456208414",
"Africa Western and Central","AFW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","1.83505619431456","3.77289812252096","7.28298546966617","5.39270548179638","4.05658844996837","-1.8072829612082","-9.5959247971883","1.44594076785363","15.5538145537379","17.9632090279498","10.8352202021188","3.14780183499343","4.22326072889845","10.25752935546","-2.19034079550866","8.58249841544844","4.73687845627437","-2.22410919714986","5.24316493925134","2.01353152592962","-6.98441988332385","-3.37725038199412","-6.5671544616236","0.547398608744871","5.55416320724247","1.40507596518671","1.46046198150904","4.86172708222065","2.26958153709826","6.60019863168102","1.1153546756032","2.70839255083868","-1.16710555302046","-0.311087673602302","1.91222685294845","4.62589783505211","4.225267632542","3.49990532753075","1.41507494573241","3.74366661670238","5.21766281315892","9.93814877322885","5.53211258339867","8.02283752807899","5.85289191452389","5.37976547612746","5.53913084124633","6.2830286583321","6.28838134284742","6.96542660958634","4.85204840851215","5.13558372219187","6.10875795162458","5.93044966738307","2.74513738741805","0.113686988857168","2.30562349545798","2.94617459918985","3.19087886773973","-0.90038189459645","3.9653985572551",
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-4.40000121865044","0","4.20000142853745","6.00000216509061","3.49999949008624","2.90000174246859","4.08274863510718","6.12889047765088","0.0416214618374653","-3.45009868500253","0.991359302044742","-5.83828073313141","-23.9834174420578","1.33936343647991","15.0000000288634","13.5443697551026","7.27427735460373","4.69114645093552","2.18148971840458","3.05462423430785","4.2059985561951","13.6656887608562","2.99000000000001","10.9500000059465","15.0299999905513","11.549999997879","14.0100000086059","11.1699999942146","0.860000002152788","4.85999999863851","3.47000000135648","8.54000000289987","4.9499999975523","4.81999999862724","0.939999999384781","-2.5799999964437","-0.149999999638098","-1.31631210213166","-0.69999999780272","-5.60000000041939","1.09999999999965",
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563529228122","2.94859680118948","1.10493826195044","-1.25159664405811","1.78064395924903","5.63724317852112","-0.787842654927246","-1.42003965566391","9.83654897187228","-9.57564016993415","-28.0021416559099","-7.18711091500037","9.5594116849315","8.30286659699671","13.322333321684","9.09999943646361","-10.9199840781391","8.82942375839806","12.8908036407763","6.94621659244254","8.29331263121023","4.53652416035675","5.52863746491788","5.51466791097914","5.52642424695465","5.90265903591924","5.98325951855567","7.50004143020151","3.35428934987461","3.70693815255319","2.54540614450104","1.4172427999078","1.00201754071108","1.77444885260394","2.21872637517804","3.31498068384137","3.80222740040676","4.01935968514439","2.08806337615015","-3.48163037314293","8.51550112324915",
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64946536113831","8.14974348780973","7.78846720332223","5.6187897289272","0.54220565931233","3.30378704601691","2.83857556823506","1.46300017891366","0.0415571952087532","2.20872761127492","-0.132474510851083","1.24646111073419","1.77011831683124","1.78468668995906","2.32143303367481","3.2533217762911","5.54712217080133","5.0943262031371","4.82703425038704","3.78138758571333","2.54600352375863","0.929214040125956","-1.03148438999895","2.3831822482118","2.75750161326249","4.64973866754707","9.06767205144135","3.19479339289236","4.0990789217793","3.52836236122388","8.11935772169949","4.54636221364653","8.69420371612468","8.13567633837351","5.39779598500422","4.80868869916921","1.55318814103222","-5.55918636850581","-5.30284654348291","-1.97495799965345","-0.00806975341139093","-4.97444371853503","-3.54759651549344","2.50446552114518","1.43414039522716","3.70967806978986","0.346071889630295","1.58876549046354","2.01554763848308","-11.1839399355384","8.94941798050814",
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","15.7611519802198","8.13033615454832","-0.600348986375622","11.0267204061475","9.08164524341768","3.39967972144602","-8.33988752576234","-6.234926317511","1.30570113351224","-2.05249498934292","4.44047992481762","-0.0732726618805373","5.76797266153906","2.19238793492629","12.1110352380002","2.39169313510104","5.19969458680261","3.16707790739919","3.2807571998023","3.06141651452747","4.6966102670831","4.75865300339402","5.11663252823507","1.83673739797013","6.56567529597731","1.70044493153168","0.677285279278706","4.87514389313472","8.8671323511855","5.52311681305511","6.08734030388736","4.57057386818454","5.55553311197971","0.388333540924862","4.74781067340899","3.24751365804006","5.1478332644664","2.58579735827979","2.935539268707","3.29406818119726","3.51825229452642","1.05633263763067","2.38392478441651","1.25627861939839","-4.84477433651568","3.60681652900017",
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.5268565060148","21.4393301701989","-1.58960331991595","20.9235730770152","23.874774910498","4.65917667406515","-6.71931618570784","-4.7458206999658","4.0169512795941","-3.59447651736838","-14.9581365645327","3.38198170900878","-2.61890770383279","12.33789128226","18.3279855336405","0.860081945778219","3.3449448618412","1.26119095149724","6.89614855052668","6.68788646362944","5.79840406132159","8.1903986407705","0.291994348685435","2.90221364464598","10.8527042125986","1.3990850303263","2.43345681036156","8.80054081486432","9.56643663716162","4.85514119630905","9.83731977348489","3.1843901736724","3.19183627610384","-5.2429219066759","1.60285004831249","6.92850859456968","4.77662573667088","5.05555965425988","4.16569184256178","6.78677287945216","5.56149075496799","0.735068713165646","1.31391388141118","1.10834813893099","-4.95705243652739","3.91629608037678",
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287621933","-0.852021521903339","-5.30819682539126","10.1302976615431","10.5694333376394","-0.659726170629824","3.19199662339177","4.82250077932424","9.67952601078326","3.04564331917115","5.65813108184925","1.62841651825939","2.81175403849035","5.5338043957736","-0.0284121037110907","-2.01825151683394","6.93414775653342","-4.50612480201359","10.2227634638681","1.51878394990179","-5.18978914135593","-0.735659159103619","4.34909327926756","1.57073870182023","-5.18902435343904","6.15337706275693","2.70486882770558","-1.08993334133791","-7.15694965597953","-2.46721377810472","9.13311056738961","7.93729155643076","8.20697907221228","5.83620070368526","-2.84520961057079","5.52668982715234","8.1110467707457","3.85017885156228","-3.38545704063269","-0.78899893905691","-4.40883968258557","-10.8944848285903","8.83704079576924","9.02957330068152","8.85165992013437","8.04715150043027","9.00765087504757","4.05723310346406","-5.91852507634947","10.1253981561002","6.00395169280579","-1.0264204544321","2.40532378079436","-2.51261532081394","2.73115982828944","-2.08032784377811","2.81850297775918","-2.61739646282038","-2.00086100285785","-9.94323513446069","10.3982494646904",
